latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,county,state,population,datetime,cluster
34.79112,-96.77715,303.74,0.72,0.75,2025-07-26,714,N,VIIRS,n,2.0NRT,286.03,1.03,N,Pontotoc County,Oklahoma,,2025-07-26 07:14:00,-1
34.7944,-96.77511,306.34,0.72,0.75,2025-07-26,714,N,VIIRS,n,2.0NRT,286.37,1.2,N,Pontotoc County,Oklahoma,,2025-07-26 07:14:00,-1
36.19189,-95.8141,306.29,0.65,0.73,2025-07-26,714,N,VIIRS,n,2.0NRT,290.73,1.77,N,Rogers County,Oklahoma,,2025-07-26 07:14:00,-1
36.1932,-95.81593,307.8,0.65,0.73,2025-07-26,714,N,VIIRS,n,2.0NRT,290.77,1.57,N,Tulsa County,Oklahoma,,2025-07-26 07:14:00,-1
29.36984,-94.90984,306.34,0.51,0.66,2025-07-26,716,N,VIIRS,n,2.0NRT,284.46,1.96,N,Galveston County,Texas,367407.0,2025-07-26 07:16:00,-1
29.74437,-94.99909,304.28,0.52,0.67,2025-07-26,716,N,VIIRS,n,2.0NRT,281.41,2.23,N,Harris County,Texas,5009302.0,2025-07-26 07:16:00,-1
35.41089,-93.77391,319.15,0.4,0.6,2025-07-26,854,N,VIIRS,n,2.0NRT,290.53,1.19,N,Franklin County,Arkansas,,2025-07-26 08:54:00,-1
35.47732,-94.22616,307.74,0.37,0.58,2025-07-26,854,N,VIIRS,n,2.0NRT,292.16,1.18,N,Crawford County,Arkansas,,2025-07-26 08:54:00,-1
36.19314,-95.81397,312.69,0.59,0.53,2025-07-26,854,N,VIIRS,n,2.0NRT,292.66,2.84,N,Rogers County,Oklahoma,,2025-07-26 08:54:00,-1
29.72194,-95.25614,299.09,0.45,0.63,2025-07-26,856,N,VIIRS,n,2.0NRT,283.49,1.15,N,Harris County,Texas,5009302.0,2025-07-26 08:56:00,-1
30.06514,-94.07349,301.24,0.52,0.67,2025-07-26,856,N,VIIRS,n,2.0NRT,286.05,2.56,N,Jefferson County,Texas,253948.0,2025-07-26 08:56:00,-1
30.07044,-94.07108,301.68,0.52,0.67,2025-07-26,856,N,VIIRS,n,2.0NRT,286.39,2.86,N,Jefferson County,Texas,253948.0,2025-07-26 08:56:00,-1
30.29533,-95.32317,303.29,0.43,0.62,2025-07-26,856,N,VIIRS,n,2.0NRT,280.14,1.53,N,Montgomery County,Texas,749613.0,2025-07-26 08:56:00,0
30.29674,-95.32066,298.6,0.43,0.62,2025-07-26,856,N,VIIRS,n,2.0NRT,280.01,2.18,N,Montgomery County,Texas,749613.0,2025-07-26 08:56:00,0
30.29788,-95.32508,334.6,0.43,0.62,2025-07-26,856,N,VIIRS,n,2.0NRT,279.59,4.79,N,Montgomery County,Texas,749613.0,2025-07-26 08:56:00,0
30.30089,-95.32127,323.72,0.43,0.62,2025-07-26,856,N,VIIRS,n,2.0NRT,280.41,1.53,N,Montgomery County,Texas,749613.0,2025-07-26 08:56:00,0
30.302,-95.32571,301.65,0.43,0.62,2025-07-26,856,N,VIIRS,n,2.0NRT,279.02,1.53,N,Montgomery County,Texas,749613.0,2025-07-26 08:56:00,0
31.21657,-103.66541,306.11,0.45,0.39,2025-07-26,856,N,VIIRS,n,2.0NRT,284.46,1.26,N,Reeves County,Texas,11956.0,2025-07-26 08:56:00,-1
31.26442,-103.68998,296.6,0.45,0.39,2025-07-26,856,N,VIIRS,n,2.0NRT,281.46,0.35,N,Reeves County,Texas,11956.0,2025-07-26 08:56:00,-1
31.35261,-96.1655,299.2,0.37,0.58,2025-07-26,856,N,VIIRS,n,2.0NRT,273.84,0.84,N,Leon County,Texas,16698.0,2025-07-26 08:56:00,-1
31.36474,-101.78094,303.49,0.54,0.42,2025-07-26,856,N,VIIRS,n,2.0NRT,292.2,1.1,N,Upton County,Texas,3128.0,2025-07-26 08:56:00,-1
31.50427,-103.30533,303.95,0.46,0.39,2025-07-26,856,N,VIIRS,n,2.0NRT,293.6,0.39,N,Ward County,Texas,11038.0,2025-07-26 08:56:00,-1
31.51991,-103.41056,305.28,0.45,0.39,2025-07-26,856,N,VIIRS,n,2.0NRT,293.66,0.47,N,Ward County,Texas,11038.0,2025-07-26 08:56:00,-1
31.58332,-102.96043,303.11,0.47,0.4,2025-07-26,856,N,VIIRS,n,2.0NRT,292.79,0.58,N,Ward County,Texas,11038.0,2025-07-26 08:56:00,-1
31.58948,-102.0834,313.75,0.52,0.41,2025-07-26,856,N,VIIRS,n,2.0NRT,292.45,1.54,N,Upton County,Texas,3128.0,2025-07-26 08:56:00,-1
31.60197,-102.48942,311.5,0.5,0.41,2025-07-26,856,N,VIIRS,n,2.0NRT,291.75,0.91,N,Crane County,Texas,4594.0,2025-07-26 08:56:00,-1
31.6612,-103.84789,305.43,0.44,0.38,2025-07-26,856,N,VIIRS,n,2.0NRT,293.94,0.39,N,Reeves County,Texas,11956.0,2025-07-26 08:56:00,-1
31.74605,-102.54724,311.14,0.49,0.4,2025-07-26,856,N,VIIRS,n,2.0NRT,293.69,1.51,N,Ector County,Texas,170022.0,2025-07-26 08:56:00,-1
31.78164,-103.64761,310.96,0.44,0.39,2025-07-26,856,N,VIIRS,n,2.0NRT,293.79,1.17,N,Loving County,Texas,48.0,2025-07-26 08:56:00,-1
31.80885,-103.89867,304.84,0.43,0.38,2025-07-26,856,N,VIIRS,n,2.0NRT,293.89,1.31,N,Reeves County,Texas,11956.0,2025-07-26 08:56:00,-1
31.83518,-96.40021,297.78,0.35,0.56,2025-07-26,856,N,VIIRS,n,2.0NRT,272.72,0.48,N,Freestone County,Texas,20645.0,2025-07-26 08:56:00,1
31.84571,-102.01474,329.71,0.52,0.41,2025-07-26,856,N,VIIRS,n,2.0NRT,293.48,5.06,N,Midland County,Texas,183587.0,2025-07-26 08:56:00,-1
31.84677,-102.02016,306.24,0.52,0.41,2025-07-26,856,N,VIIRS,n,2.0NRT,292.38,4.25,N,Midland County,Texas,183587.0,2025-07-26 08:56:00,-1
31.91348,-103.49429,306.32,0.45,0.39,2025-07-26,856,N,VIIRS,n,2.0NRT,293.4,0.67,N,Loving County,Texas,48.0,2025-07-26 08:56:00,-1
31.94223,-101.72826,301.93,0.53,0.42,2025-07-26,856,N,VIIRS,n,2.0NRT,291.35,0.77,N,Glasscock County,Texas,1153.0,2025-07-26 08:56:00,-1
31.94872,-101.72062,313.19,0.53,0.42,2025-07-26,856,N,VIIRS,n,2.0NRT,291.8,0.6,N,Glasscock County,Texas,1153.0,2025-07-26 08:56:00,-1
31.96504,-106.58538,321.72,0.38,0.36,2025-07-26,856,N,VIIRS,n,2.0NRT,295.4,2.16,N,El Paso County,Texas,875784.0,2025-07-26 08:56:00,-1
31.98407,-106.42806,306.53,0.38,0.36,2025-07-26,856,N,VIIRS,n,2.0NRT,294.29,0.98,N,El Paso County,Texas,875784.0,2025-07-26 08:56:00,-1
32.04348,-103.94888,311.83,0.43,0.38,2025-07-26,856,N,VIIRS,n,2.0NRT,293.39,0.51,N,Eddy County,New Mexico,,2025-07-26 08:56:00,-1
32.07081,-102.58891,303.1,0.48,0.4,2025-07-26,856,N,VIIRS,n,2.0NRT,292.31,0.83,N,Ector County,Texas,170022.0,2025-07-26 08:56:00,-1
32.08683,-102.55285,306.73,0.48,0.4,2025-07-26,856,N,VIIRS,n,2.0NRT,292.6,0.82,N,Ector County,Texas,170022.0,2025-07-26 08:56:00,-1
32.13443,-103.46732,308.8,0.44,0.39,2025-07-26,856,N,VIIRS,n,2.0NRT,292.07,0.57,N,Lea County,New Mexico,,2025-07-26 08:56:00,-1
32.13612,-101.49343,306.23,0.54,0.42,2025-07-26,856,N,VIIRS,n,2.0NRT,292.33,0.39,N,Howard County,Texas,30833.0,2025-07-26 08:56:00,-1
32.13793,-103.46643,303.31,0.44,0.39,2025-07-26,856,N,VIIRS,n,2.0NRT,291.94,0.57,N,Lea County,New Mexico,,2025-07-26 08:56:00,-1
32.13803,-101.48802,304.74,0.54,0.42,2025-07-26,856,N,VIIRS,n,2.0NRT,292.31,0.43,N,Howard County,Texas,30833.0,2025-07-26 08:56:00,-1
32.14652,-101.97341,313.24,0.51,0.41,2025-07-26,856,N,VIIRS,n,2.0NRT,293.03,1.24,N,Martin County,Texas,5179.0,2025-07-26 08:56:00,-1
32.26578,-104.11183,304.72,0.42,0.38,2025-07-26,856,N,VIIRS,n,2.0NRT,294.24,0.81,N,Eddy County,New Mexico,,2025-07-26 08:56:00,-1
32.29615,-101.5841,304.54,0.53,0.42,2025-07-26,856,N,VIIRS,n,2.0NRT,292.71,0.26,N,Howard County,Texas,30833.0,2025-07-26 08:56:00,-1
32.33277,-102.02263,304.8,0.51,0.41,2025-07-26,856,N,VIIRS,n,2.0NRT,292.45,0.55,N,Martin County,Texas,5179.0,2025-07-26 08:56:00,-1
